City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Ngunguru,NZ,2021-04-04 15:31:40,-35.6167,174.5,52.0,93,34,5.44
231,Ormara,PK,2021-04-04 15:31:41,25.2088,64.6357,80.8,78,0,10.78
232,Half Moon Bay,US,2021-04-04 15:31:41,37.4636,-122.4286,53.6,71,90,8.05
233,Aleksandrov Gay,RU,2021-04-04 15:31:41,50.147,48.5704,39.22,64,99,5.28
234,Bonthe,SL,2021-04-04 15:31:41,7.5264,-12.505,85.8,66,49,13.94
235,Ayer Tawar,MY,2021-04-04 15:31:42,4.2954,100.7548,82.4,89,20,4.61
236,Akdepe,TM,2021-04-04 15:31:42,42.0551,59.3788,55.4,58,0,16.11
237,Majene,ID,2021-04-04 15:31:42,-3.5403,118.9707,79.29,85,100,3.0
238,Lasa,IT,2021-04-04 15:27:56,46.6166,10.7002,66.2,36,0,9.22
239,Port Elizabeth,ZA,2021-04-04 15:30:28,-33.918,25.5701,69.8,64,0,19.57
240,Asbestovskiy,RU,2021-04-04 15:31:43,57.7557,61.3967,34.2,99,100,3.85
241,Pinotepa Nacional,MX,2021-04-04 15:31:43,16.3167,-98.0167,89.62,33,0,4.27
242,Airai,TL,2021-04-04 15:30:27,-8.9266,125.4092,60.28,96,100,4.5
243,Tweed,CA,2021-04-04 15:31:44,44.4751,-77.3162,51.01,52,7,4.0
244,Polyarnyy,RU,2021-04-04 15:31:44,69.1989,33.4478,37.4,70,40,8.95
245,Port Blair,IN,2021-04-04 15:31:44,11.6667,92.75,80.24,75,7,4.0
246,Clyde River,CA,2021-04-04 15:31:44,70.4692,-68.5914,-13.0,84,1,4.61
247,Klaksvik,FO,2021-04-04 15:31:45,62.2266,-6.589,24.8,80,75,35.68
248,Alyangula,AU,2021-04-04 15:31:45,-13.8483,136.4192,79.16,61,17,4.74
249,Kurumkan,RU,2021-04-04 15:31:45,54.3,110.3,26.35,81,33,6.33
250,Jutai,BR,2021-04-04 15:31:46,-5.1833,-68.9,74.73,97,100,1.61
251,Coos Bay,US,2021-04-04 15:31:46,43.3665,-124.2179,48.2,93,90,9.22
252,Agboville,CI,2021-04-04 15:31:46,5.928,-4.2132,80.2,83,93,5.46
253,Port Lincoln,AU,2021-04-04 15:31:46,-34.7333,135.8667,63.23,83,0,12.64
254,Victor Harbor,AU,2021-04-04 15:31:47,-35.5667,138.6167,64.0,79,4,1.01
255,Port Augusta,AU,2021-04-04 15:31:47,-32.5,137.7667,68.0,88,0,11.5
256,Cabra,ES,2021-04-04 15:31:47,37.4725,-4.4421,72.0,46,27,1.01
